Payment_ID,Date,Order_ID,Customer_ID,Amount_Received,Balance_Due,Payment_Mode,Transaction_Reference,Follow_Up_Date,Status,Notes
PAY-0065,2025-02-08,ORD-0065,CUST-0001,1500.0,0.0,UPI,,,Cleared,45733
PAY-0066,2025-02-12,ORD-0066,CUST-0001,4400.0,0.0,UPI,,,Cleared,
PAY-0067,2025-02-14,ORD-0067,CUST-0001,1800.0,0.0,UPI,,,Cleared,Received 2400 Rs on 19 April 2025
PAY-0068,2025-02-14,ORD-0068,CUST-0001,9700.0,0.0,Bank Transfer,,,Cleared,Transferred from Bindu s account as on 4 May
PAY-0069,2025-02-18,ORD-0069,CUST-0001,1455.0,0.0,UPI,,,Cleared,
PAY-0070,2025-02-23,ORD-0070,CUST-0001,11205.0,0.0,UPI,,,Cleared,Pink Market Sale : Total amount gpay 13102
PAY-0071,2025-02-23,ORD-0071,CUST-0001,98.0,0.0,UPI,,,Cleared,
PAY-0072,2025-03-01,ORD-0072,CUST-0001,0.0,1940.0,UPI,,,Pending,Check with Arun
PAY-0073,2025-03-06,ORD-0073,CUST-0001,0.0,1750.0,UPI,,,Pending,WellGenome Launch
PAY-0074,2025-03-08,ORD-0074,CUST-0001,2400.0,0.0,Bank Transfer,,,Cleared,Payment via bank on 8 Sep 2025
PAY-0075,2025-03-09,ORD-0075,CUST-0001,7500.0,0.0,Bank Transfer,,,Cleared,Transferred on 4 May 2025 from J&B account
PAY-0076,2025-03-09,ORD-0076,CUST-0001,2000.0,0.0,UPI,,,Cleared,Payment done by Bindu on 7 Sep 2025
PAY-0077,2025-03-14,ORD-0077,CUST-0001,9700.0,0.0,UPI,,,Cleared,
PAY-0078,2025-03-18,ORD-0078,CUST-0001,3000.0,0.0,UPI,,,Cleared,
PAY-0079,2025-03-23,ORD-0079,CUST-0001,0.0,300.0,UPI,,,Pending,
PAY-0080,2025-03-27,ORD-0080,CUST-0001,1200.0,0.0,UPI,,,Cleared,Received 2700 rs on 28 July including Invoice no 63
PAY-0081,2025-03-27,ORD-0081,CUST-0001,1200.0,0.0,UPI,,,Cleared,1200 received on 27 March
PAY-0082,2025-04-03,ORD-0082,CUST-0001,30000.0,0.0,Bank Transfer,,,Cleared,Transferred from Bindu s account as on 4 May
PAY-0083,2025-04-06,ORD-0083,CUST-0001,11095.0,0.0,Cash,,,Cleared,Cash 800 to be transferred
PAY-0084,2025-04-11,ORD-0084,CUST-0001,0.0,4500.0,UPI,,,Pending,
PAY-0085,2025-04-17,ORD-0085,CUST-0001,6000.0,0.0,UPI,,,Cleared,GIft Hampers - 2
PAY-0086,2025-04-21,ORD-0086,CUST-0001,9700.0,0.0,UPI,,,Cleared,Payment done by Bindu on 7 Sep 2025
PAY-0087,2025-04-26,ORD-0087,CUST-0001,6250.0,0.0,UPI,,,Cleared,Received 6k on 10th May 2025
PAY-0088,2025-04-19,ORD-0088,CUST-0001,1400.0,0.0,UPI,,,Cleared,1400 rs on 13 May received
PAY-0089,2025-04-22,ORD-0089,CUST-0001,520.0,0.0,UPI,,,Cleared,
PAY-0090,2025-05-02,ORD-0090,CUST-0001,2400.0,0.0,UPI,,,Cleared,Received on 14 Nov 2025
PAY-0091,2025-05-06,ORD-0091,CUST-0001,8800.0,0.0,UPI,,,Cleared,Payment done on 20 aug 2025
PAY-0092,2025-05-10,ORD-0092,CUST-0001,1500.0,0.0,UPI,,,Cleared,Received 2700 rs on 28 July
PAY-0093,2025-05-07,ORD-0093,CUST-0001,6790.0,0.0,UPI,,,Cleared,Payment done on 20th May
PAY-0094,2025-05-11,ORD-0094,CUST-0001,4000.0,0.0,Bank Transfer,,,Cleared,Payment transferred by Bindu on 1 Nov 2025
PAY-0095,2025-06-17,ORD-0095,CUST-0001,2400.0,0.0,Bank Transfer,,,Cleared,Transferred from Bindu s acc on 4 july 2025
PAY-0096,2025-06-26,ORD-0096,CUST-0001,900.0,0.0,UPI,,,Cleared,Made as a payment of 2900 on 9 Sep 2025
PAY-0097,2025-06-30,ORD-0097,CUST-0001,6800.0,0.0,UPI,,,Cleared,Payment on 8 July 2025
PAY-0098,2025-07-01,ORD-0098,CUST-0001,1320.0,0.0,UPI,,,Cleared,Received payment on 5th July 2025
PAY-0099,2025-07-01,ORD-0099,CUST-0001,1080.0,0.0,UPI,,,Cleared,Received on 11 Nov 2025
PAY-0100,2025-07-19,ORD-0100,CUST-0001,4081.0,0.0,UPI,,,Cleared,Payment done by Bindu on 7 Sep 2025
PAY-0101,2025-07-21,ORD-0101,CUST-0001,3000.0,0.0,UPI,,,Cleared,Hamper - 3000 rs
PAY-0102,2025-07-22,ORD-0102,CUST-0001,4050.0,0.0,Bank Transfer,,,Cleared,To South Indian Bank on 21 Jan 2026
PAY-0103,2025-07-23,ORD-0103,CUST-0001,3000.0,0.0,UPI,,,Cleared,
PAY-0104,2025-07-23,ORD-0104,CUST-0001,3000.0,0.0,UPI,,,Cleared,Made as a payment of 7800 on 6 Oct 2025
PAY-0105,2025-07-29,ORD-0105,CUST-0001,4420.0,0.0,UPI,,,Cleared,
PAY-0106,2025-07-30,ORD-0106,CUST-0001,6120.0,0.0,UPI,,,Cleared,Payment received on 29 Aug 2025
PAY-0107,2025-07-30,ORD-0107,CUST-0001,2000.0,0.0,UPI,,,Cleared,Made as a payment of 2900 on 9 Sep 2025
PAY-0108,2025-08-01,ORD-0108,CUST-0001,300.0,0.0,UPI,,,Cleared,Payment received on 8 Sep 2025
PAY-0109,2025-08-18,ORD-0109,CUST-0001,9700.0,0.0,UPI,,,Cleared,Payment received from Bindu on 31 Oct 2025
PAY-0110,2025-08-20,ORD-0110,CUST-0001,0.0,2000.0,UPI,,,Pending,
PAY-0111,2025-08-19,ORD-0111,CUST-0001,0.0,2000.0,UPI,,,Pending,
PAY-0112,2025-08-25,ORD-0112,CUST-0001,390.0,0.0,UPI,,,Cleared,Gpay - 25 Aug
PAY-0113,2025-08-25,ORD-0113,CUST-0001,390.0,0.0,UPI,,,Cleared,Gpay - 25 Aug
PAY-0114,2025-08-25,ORD-0114,CUST-0001,130.0,0.0,UPI,,,Cleared,Gpay - 25 Aug
PAY-0115,2025-08-25,ORD-0115,CUST-0001,260.0,0.0,UPI,,,Cleared,Gpay - 25 Aug
PAY-0116,2025-08-26,ORD-0116,CUST-0001,120.0,0.0,UPI,,,Cleared,Gpay - 26 Aug
PAY-0117,2025-08-26,ORD-0117,CUST-0001,130.0,0.0,UPI,,,Cleared,Gpay - 26 Aug
PAY-0118,2025-08-27,ORD-0118,CUST-0001,2910.0,0.0,UPI,,,Cleared,Payment received on 1 Nov 2025 as 4000 rs
PAY-0119,2025-08-28,ORD-0119,CUST-0001,2000.0,0.0,UPI,,,Cleared,
PAY-0120,2025-09-01,ORD-0120,CUST-0001,240.0,0.0,UPI,,,Cleared,Gpay - 1 Sep
PAY-0121,2025-09-01,ORD-0121,CUST-0001,990.0,0.0,UPI,,,Cleared,Gpay - 4 Sep
PAY-0122,2025-09-02,ORD-0122,CUST-0001,130.0,0.0,UPI,,,Cleared,Gpay - 2 Sep
PAY-0123,2025-09-02,ORD-0123,CUST-0001,0.0,2000.0,UPI,,,Pending,
PAY-0124,2025-09-03,ORD-0124,CUST-0001,11375.0,0.0,UPI,,,Cleared,Received Payment on 4 Sep 2025
PAY-0125,2025-09-03,ORD-0125,CUST-0001,0.0,5000.0,UPI,,,Pending,
PAY-0126,2025-09-03,ORD-0126,CUST-0001,1940.0,0.0,UPI,,,Cleared,Payment received on 1 Nov 2025 as 4000 rs
PAY-0127,2025-09-04,ORD-0127,CUST-0001,30000.0,0.0,UPI,,,Cleared,Received Payment on 30 Sep 2025
PAY-0128,2025-09-12,ORD-0128,CUST-0001,2400.0,0.0,UPI,,,Cleared,Porter Service
PAY-0129,2025-09-12,ORD-0129,CUST-0001,2400.0,0.0,UPI,,,Cleared,Porter Service
PAY-0130,2025-09-12,ORD-0130,CUST-0001,5500.0,0.0,UPI,,,Cleared,Porter Service
PAY-0131,2025-09-20,ORD-0131,CUST-0001,3760.0,0.0,UPI,,,Cleared,each box sold at 375 and 350
PAY-0132,2025-09-21,ORD-0132,CUST-0001,3620.0,0.0,Cash,,,Cleared,2780 gpay + 840 cash
PAY-0133,2025-09-23,ORD-0133,CUST-0001,860.0,0.0,UPI,,,Cleared,
PAY-0134,2025-09-29,ORD-0134,CUST-0001,32500.0,0.0,UPI,,,Cleared,Received Payment on 31 Oct 2025
PAY-0135,2025-10-01,ORD-0135,CUST-0001,860.0,0.0,UPI,,,Cleared,
PAY-0136,2025-10-07,ORD-0136,CUST-0001,3600.0,0.0,UPI,,,Cleared,Received on 17 Nov 2025 Rs 7200
PAY-0137,2025-10-07,ORD-0137,CUST-0001,3600.0,0.0,UPI,,,Cleared,Received on 17 Nov 2025 Rs 7200
PAY-0138,2025-10-07,ORD-0138,CUST-0001,750.0,750.0,UPI,,,Pending,Received on 16 Jan 2026 as Rs 3500
PAY-0139,2025-10-08,ORD-0139,CUST-0001,4000.0,0.0,UPI,,,Cleared,Recceived from Hima on 1 Nov 2025
PAY-0140,2025-10-16,ORD-0140,CUST-0001,27572.0,0.0,UPI,,,Cleared,Received on 3 Nov 2025 Rs. 27625
PAY-0141,2025-10-16,ORD-0141,CUST-0001,14000.0,0.0,UPI,,,Cleared,1000* 12 hampers; 2000*1 hamper
PAY-0142,2025-10-18,ORD-0142,CUST-0001,6499.0,0.0,UPI,,,Cleared,Payment received on 1 Jan 2026 Amount : 7954
PAY-0143,2025-10-18,ORD-0143,CUST-0001,1875.0,0.0,UPI,,,Cleared,Two payments received on 19 Oct 2025
PAY-0144,2025-10-25,ORD-0144,CUST-0001,900.0,0.0,Cash,,,Cleared,4220 gpay + cash 780
PAY-0145,2025-10-25,ORD-0145,CUST-0001,720.0,0.0,UPI,,,Cleared,
PAY-0146,2025-10-25,ORD-0146,CUST-0001,3380.0,0.0,UPI,,,Cleared,
PAY-0147,2025-11-03,ORD-0147,CUST-0001,500.0,0.0,UPI,,,Cleared,Gpay
PAY-0148,2025-11-15,ORD-0148,CUST-0001,3900.0,0.0,UPI,,,Cleared,Received on 16 Dec 2025 Rs. 33900
PAY-0149,2025-11-18,ORD-0149,CUST-0001,1500.0,1500.0,UPI,,,Pending,Received on 16 Jan 2026 as Rs 3500
PAY-0150,2025-11-18,ORD-0150,CUST-0001,1200.0,1200.0,UPI,,,Pending,
PAY-0151,2025-11-19,ORD-0151,CUST-0001,1455.0,0.0,UPI,,,Cleared,Payment received on 1 Jan 2026 Amount : 7954
PAY-0152,2025-11-22,ORD-0152,CUST-0001,2620.0,0.0,UPI,,,Cleared,Received as three payments on 24 Nov 2025
PAY-0153,2025-11-23,ORD-0153,CUST-0001,3600.0,0.0,UPI,,,Cleared,Received on 11 Jan HB Current acc
PAY-0154,2025-11-23,ORD-0154,CUST-0001,3600.0,0.0,UPI,,,Cleared,Received on 11 Jan HB Current acc
PAY-0155,2025-11-26,ORD-0155,CUST-0001,3750.0,0.0,UPI,,,Cleared,Received on 2 Dec 2025 Rs 3750
PAY-0156,2025-11-29,ORD-0156,CUST-0001,30000.0,0.0,UPI,,,Cleared,Received on 16 Dec 2025 Rs. 33900
PAY-0157,2025-12-23,ORD-0157,CUST-0001,2000.0,2000.0,UPI,,,Pending,
PAY-0158,2025-12-26,ORD-0158,CUST-0001,4510.0,0.0,UPI,,,Cleared,Received on 20 May 2026
PAY-0159,2025-12-23,ORD-0159,CUST-0001,800.0,800.0,UPI,,,Pending,Cocoa Powder - 1 kg
PAY-0160,2025-12-08,ORD-0160,CUST-0042,24000.0,0.0,UPI,,,Cleared,Amount Received on 4 Jan 2026
PAY-0161,2025-12-23,ORD-0161,CUST-0043,3300.0,0.0,Bank Transfer,,,Cleared,Bank details shared Revised bill requested
PAY-0162,2025-12-23,ORD-0162,CUST-0044,7760.0,0.0,UPI,,,Cleared,Received amount 14 Feb 2026 including GST
PAY-0163,2025-12-24,ORD-0163,CUST-0045,2400.0,0.0,UPI,,,Cleared,
PAY-0164,2025-12-24,ORD-0164,CUST-0045,1400.0,0.0,UPI,,,Cleared,Amount Received on 8 Jan 2026
PAY-0165,2025-12-26,ORD-0165,CUST-0046,4290.0,0.0,UPI,,,Cleared,Received on 20 May 2026
PAY-0166,2025-12-26,ORD-0166,CUST-0047,4500.0,0.0,UPI,,,Cleared,Amount received on 18 March 2026
PAY-0167,2026-01-01,ORD-0167,CUST-0041,0.0,9000.0,UPI,,,Pending,Bindu to receive
PAY-0168,2026-01-07,ORD-0168,CUST-0044,7760.0,0.0,UPI,,,Cleared,Received amount 14 Feb 2026 including GST
PAY-0169,2026-01-10,ORD-0169,CUST-0048,0.0,2400.0,UPI,,,Pending,
PAY-0170,2026-01-27,ORD-0170,CUST-0049,3000.0,0.0,UPI,,,Cleared,Received amount on 2 Feb 2026
PAY-0171,2026-01-27,ORD-0171,CUST-0050,1900.0,0.0,UPI,,,Cleared,Amount received on 26 Jan
PAY-0172,2026-02-12,ORD-0172,CUST-0033,0.0,8000.0,UPI,,,Pending,
PAY-0173,2026-02-18,ORD-0173,CUST-0048,0.0,2640.0,UPI,,,Pending,
PAY-0174,2026-03-09,ORD-0174,CUST-0048,0.0,4800.0,UPI,,,Pending,
PAY-0175,2026-03-16,ORD-0175,CUST-0048,0.0,7200.0,UPI,,,Pending,
PAY-0176,2026-03-24,ORD-0176,CUST-0051,0.0,6000.0,UPI,,,Pending,
PAY-0177,2026-03-25,ORD-0177,CUST-0052,7000.0,0.0,UPI,,,Cleared,Amount received on 30 Apr 2026
PAY-0178,2026-03-24,ORD-0178,CUST-0053,13770.0,0.0,UPI,,,Cleared,Exhibition Recca Fest
PAY-0179,2026-03-21,ORD-0179,CUST-0054,7645.0,0.0,UPI,,,Cleared,Amount received on 21 March 2026
PAY-0180,2026-03-18,ORD-0180,CUST-0044,4850.0,0.0,UPI,,,Cleared,Received amount 1 Apr 2026 Including GST
PAY-0181,2026-03-29,ORD-0181,CUST-0055,6600.4,0.0,Cash,,,Cleared,Cash to be deposited for kulam 2980
PAY-0182,2026-04-05,ORD-0182,CUST-0056,1800.0,0.0,UPI,,,Cleared,Amount received on 5 April 2026
PAY-0183,2026-04-06,ORD-0183,CUST-0057,1680.0,0.0,UPI,,,Cleared,
PAY-0184,2026-04-13,ORD-0184,CUST-0058,1905.0,0.0,Cash,,,Cleared,Cash
PAY-0185,2026-04-16,ORD-0185,CUST-0044,7760.0,0.0,UPI,,,Cleared,Received on 23 May 2026
PAY-0186,2026-04-18,ORD-0186,CUST-0059,1428.57,0.0,UPI,,,Cleared,Amount Received on 17 April 2026
PAY-0187,2026-04-11,ORD-0187,CUST-0060,14819.05,0.0,Cash,,,Cleared,gpay 12850; Cash 2710
PAY-0188,2026-04-21,ORD-0188,CUST-0061,495.24,0.0,UPI,,,Cleared,Received on 17 July 2026
PAY-0189,2026-05-02,ORD-0189,CUST-0048,0.0,6857.14,UPI,,,Pending,
PAY-0190,2026-05-06,ORD-0190,CUST-0062,800.0,0.0,UPI,,,Cleared,Payment received on 30 May 2026
PAY-0191,2026-05-07,ORD-0191,CUST-0063,1180.95,0.0,UPI,,,Cleared,Received on 16 June
PAY-0192,2026-05-16,ORD-0192,CUST-0044,0.0,7275.0,UPI,,,Pending,
PAY-0193,2026-05-27,ORD-0193,CUST-0033,0.0,2900.0,UPI,,,Pending,
PAY-0194,2026-05-29,ORD-0194,CUST-0064,0.0,2285.71,UPI,,,Pending,
PAY-0195,2026-05-30,ORD-0195,CUST-0064,0.0,5676.19,UPI,,,Pending,
PAY-0196,2026-05-30,ORD-0196,CUST-0045,0.0,7904.76,UPI,,,Pending,
PAY-0197,2026-05-31,ORD-0197,CUST-0064,0.0,4800.0,UPI,,,Pending,
PAY-0198,2026-06-03,ORD-0198,CUST-0045,0.0,1790.48,UPI,,,Pending,
PAY-0199,2026-06-04,ORD-0199,CUST-0065,0.0,3500.0,UPI,,,Pending,
PAY-0200,2026-06-04,ORD-0200,CUST-0066,0.0,1485.71,UPI,,,Pending,
PAY-0201,2026-06-05,ORD-0201,CUST-0067,0.0,2380.95,UPI,,,Pending,
PAY-0202,2026-06-12,ORD-0202,CUST-0068,3000.0,0.0,Cash,,,Cleared,3000 as cash deposited on 1 july
PAY-0203,2026-07-01,ORD-0203,CUST-0048,0.0,3600.0,UPI,,,Pending,
PAY-0204,2026-07-25,ORD-0206,CUST-0010,852.38,0.0,UPI,,,Cleared,
PAY-0205,2026-07-27,ORD-0207,CUST-0044,0.0,8633.0,UPI,,,Pending,Includes credit for returned items
PAY-0206,2026-07-28,ORD-0208,CUST-0071,495.24,0.0,UPI,,,Cleared,need to pay for courier of 71 rs
PAY-0207,2026-07-28,ORD-0209,CUST-0072,0.0,4000.0,UPI,,,Pending,need to pay for courier of 71 rs
PAY-0208,2026-07-29,ORD-0210,CUST-0073,742.86,0.0,UPI,,,Cleared,
PAY-0209,2026-07-29,ORD-0211,CUST-0048,0.0,7428.57,UPI,,,Pending,"Discount: 180, Total Receivable: 7620"
